,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes
93,Weeksville Heritage Center- Pop Up ,"Buffalo Ave and Bergen St, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
94,Wingate Park- Pop Up ,"466 Rutland Rd, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
95,"Gotham Health, Belvis ","545 East 142nd Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
96,"Gotham Health, Cumberland ","100 North Portland Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
97,"Gotham Health, East New York ","2094 Pitkin Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
98,"Gotham Health, Gouverneur ","227 Madison Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
99,"Gotham Health, Morrisania ","1225 Gerard Avenue, 2nd Floor Room 2B01, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
100,"Gotham Health, Sydenham ","264 West 118th Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
101,"Gotham Health, Vanderbilt ","165 Vanderbilt Avenue, 2nd Floor, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
102,"NYC Health + Hospitals, Bellevue ","462 1st Avenue, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
103,"NYC Health + Hospitals, Coney Island ","2601 Ocean Parkway, Main building, 2nd floor conference room, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
104,"NYC Health + Hospitals, Elmhurst ","79-01 Broadway, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
105,"NYC Health + Hospitals, Harlem ","506 Lenox Avenue, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
106,"NYC Health + Hospitals, Jacobi ","1400 Pelham Parkway South, Bronx","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
107,"NYC Health + Hospitals, Kings County ","451 Clarkson Avenue, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
108,"NYC Health + Hospitals, Lincoln ","234 East 149th Street,Room 2A5-250, Bronx","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
109,"NYC Health + Hospitals, Metropolitan ","1901 1st Avenue, 4A, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
110,"NYC Health + Hospitals, North Central Bronx ","3424 Kossuth Avenue, Bronx","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
111,"NYC Health + Hospitals, Queens ","82-68 164th Street, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
112,"NYC Health + Hospitals, Woodhull ","760 Broadway, Brooklyn","$100 incentive available , ",(877) 829-4692,Hospital-Based Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , "
113,NYC Health + Hospitals/Gotham Health - Tremont ,"1920 Webster Avenue, 1st Floor, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
114,NYS - Aqueduct Racetrack ,"110-00 Rockaway Blvd, Racing Hall, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 697-4829,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
115,NYS - Bay Eden Senior Center ,"1220 East 229th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 697-4829,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
116,NYS Medgar Evers College ,"231 Crown Street, Brooklyn",,(833) 697-4829,Community Health Center/Clinic ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+),
117,133rd Street Pharmacy Inc ,"1473 Amsterdam Avenue, Manhattan",,(212) 491-4911,Pharmacy ,Vaccine offered:Moderna (18+),
118,137 Mott Pharmacy ,"137 Mott Street, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(646) 669-8220,Pharmacy ,Vaccines offered:Pfizer (12+)Pfizer (5-11)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
119,168 Pharmacy ,"135-05 38th Avenue, Queens",,(929) 456-6550,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
120,7th Ave Pharmacy Inc ,"5412 7th Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 633-2299,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
121,86 BoBo Pharmacy Inc. ,"2170 86th Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 587-6275,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
122,86 PHARMACY INC. ,"2042 86 Street, -, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 266-1268,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
123,99 Pharmacy Inc ,"7402 Grand Avenue, A, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 500-3699,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
124,A One Pharmacy Inc. ,"6009 8th Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 438-3999,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
125,AE3 Pharmacy ,"818 57th Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 972-1852,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
126,Aid Pharmacy ,"807 Kings Highway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 376-3313,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
127,AJ Woodhaven Pharmacy ,"62-04B Woodhaven Boulevard, Queens",,N/A,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
128,Alegria Health and Wellness ,"3475 Third Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",N/A,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
129,Allure Specialty Pharmacy ,"4377 Bronx Boulevard, Bronx",,(866) 293-1559,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
130,Altru Chemists ,"987 Manhattan Avenue, -, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 349-9009,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (5-11)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
131,Ambar Pharmacy ,"2544A White Plains Road, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 994-4444,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
132,Amiable Pharmacy ,"1108 Liberty Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 827-7528,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
133,Andy Pharmacy II ,"1341 St. Nicholas Avenue, Manhattan",,(212) 795-3033,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
134,Annadale Family Pharmacy ,"831 Annadale Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 227-0710,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
135,Apthorp Pharmacy ,"2191 Broadway, Manhattan",,(646) 669-7261,Pharmacy ,Vaccine offered:Moderna (18+),
136,Arthur Avenue Pharmacy ,"2343 Arthur Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 561-4040,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
137,Asencio Pharmacy Inc ,"154 East 174th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 299-2416,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
138,Auburndale Pharmacy Inc ,"192-15 47th Avenue, Queens",,(718) 352-3200,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+)Johnson & Johnson (18+),
139,B & B Pharmacy Inc ,"79-08 37th Avenue, Queens",,(718) 533-6623,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+),
140,Bakers Drugs ,"205-43 Linden Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 749-5988,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
141,BAY HEALTH PHARAMCY INC ,"6415 Bay Parkway, -, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 234-6500,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
142,Benjamin's Pharmacy & Surgical ,"987 Allerton Avenue, Bronx",,(718) 405-9119,Pharmacy ,Vaccine offered:Moderna (18+),
143,Best RX Pharmacy ,"325 New Dorp Lane, Staten Island",,(718) 351-2400,Pharmacy ,Vaccine offered:Pfizer (12+),
144,Big Apple Pharmacy ,"37-71 103rd Street, Queens",,(718) 779-4450,Pharmacy ,Vaccine offered:Moderna (18+),
145,Bliss Pharmacy Inc ,"1590 Madison Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(212) 427-4382,Pharmacy ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
146,Boro Park Pharmacy ,"5600 New Utrecht Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 480-0700,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
147,Braddock Pharmacy ,"236-01a Braddock Avenue, Queens",,N/A,Pharmacy ,Vaccine offered:Johnson & Johnson (18+),
148,Broadway Pharmacy ,"4329 Broadway, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(212) 740-8500,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
149,Burke Avenue Pharmacy ,"759 Burke Avenue, Bronx",,(347) 326-6000,Pharmacy ,Vaccine offered:Moderna (18+),
150,Cairo RX Inc ,"1932 Bath Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 749-9219,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+)Johnson & Johnson (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
